Unnamed: 0,text,Emotion
833975,i listen to when i feel discouraged as a writer a href http writingismypower,anger
647817,i feel a perverse thrill as i say this despite the pain in my arms and the frightening rage in rob s eyes,anger
148525,i would continue to feel so irritated and even angry,anger
291010,i feel afraid inside i realize that im angry inside,anger
792290,i feel he broke up with his ex for her not trusting him so he was also angry at me while i was angry at him for what he did,anger
14602,i remember back then i always feel like my friends are afraid to tell me something because i might get angry,anger
711322,i can t feel angry about that for a while before i need choose to forgive them,anger
12398,i feel that harjo would have convinced me to her side were she able to successfully repudiate scientists in the fields of cultural anthropology or archaeology these scientists would probably be outraged to discover said bones buried in the ground forever,anger
74274,i am overdue for one and i feel as angry as i did when i was a middle schooler being asked about spoolies,anger
125051,im down always encourages me when i feel discouraged and when i need to talk about my feelings hes always there to listen,anger
493574,i managed to stay with the interest in my not pretty feeling instead of obsessing over her rudeness and getting angry,anger
256083,i feel outraged and am trying to find the best ways to express it through creative outpouring through conversations,anger
498964,i thought it was a sensitive and realistic look at the way a family would cope with a great tragedy and in the end it left me feeling hopeful and refreshed,anger
547251,i feel outraged that there is an open assault against freedom of speech and assembly taking place in america and at the same time i feel numb and apathetic,anger
386784,i normally will myself to not do i just knew that today s post would consist of i ve got nothin amp was feeling pretty discouraged,anger
548690,i was most angry when india lost the triangular cricket trophy held in australia i was so angry that i fought orally with my friend,anger
339508,i bounce from feeling violently rejected angry all the way to sunny indifference,anger
572660,i feel for them and for the innocent victims of their violent rage,anger
835159,i could feel the rage coursing in my veins felt the willingness to rip through the savage men who had turned my world upside down,anger
127644,i feel shaken broken down i feel angry i feel like i care when no one cares back not do u try to work things out to each its own is our new concept and model,anger
245136,im not angry or upset or feel wronged in anyway,anger
196511,i dont think girls are really encouraged to express anger in a healthy way i know i dont and tend to bottle everything up until its two in the morning and i feel exhausted trying to reconcile my thoughts and feelings which have manifested in the form of inner demons,anger
117575,i feel distraught wondering why the fuck this is happening to me why do i have to see like a mirage of her every time i look in the mirror,anger
280389,i feel a bit discouraged,anger
743590,i can feel the outraged heat in my face,anger
214619,i ever feel anymore is when one of us gets angry,anger
778419,i find myself feeling overly discouraged when and as i face a point that will require extra time and effort more so than i had planned for within my unrealistic imagining of the event,anger
213883,i got angry is because i feel like i just got fucked,anger
603195,i sure hope so because i feel vulnerable as hell right now writing this and i m going to need some strength and a lot of courage to hit post,anger
759740,i particularly went for this left leaning mindset in reaction to i was feeling a bit outraged by the right and left division of our country in the aftermath of the tragedy,anger
236125,i feel angry with ks kids for not respecting her i feel angry with k for not setting boundaries,anger
130823,i feel faintly outraged,anger
98954,i knew god was and is good and he was in control and had blessed me tremendously but i was just feeling discouraged,anger
181234,i was so angry with a patient who refused to take drugs,anger
34313,i never felt as if god was angry with me instead i confessed my feelings to him he assured me that he values the choices that ive made and will continue to honor me for all those chances i chose not to make out with any guy no matter how seemingly genuine they were,anger
